,Strain,Number,Attenuation,Flocculation,Alcohol_Tolerance,Fermentation_Temperature,STA1,Description
0," East Coast Ale 
",OYL-032,>70-75%</d,Medi,""">10%",""">68–73° F (20–23° C)<",>No</d,"
    Thought to be the famous Bostonian strain. It is suitable for a broad range of beer styles with an American spin. Using 
    <a href=""https://omegayeast.com/yeast/ales/west-coast-ale-i"">West Coast Ale I (OYL-004)</a>
     for comparison, it is a little tart and slightly muting of hop bitterness. Slightly less flocculent and attenuative, too, but every bit as versatile, carrying an overall clean and neutral flavor character.
  "
0," Bayern Lager 
",OYL-114,>72-76%</d,Medi,""">9% ",""">51–62° F (11–17° C)<",>No</d,"This clean, crisp, lager strain of Bavarian origin ferments at a wide temperature range and flocculates well with minimal diacetyl production. It especially excels in maltier styles, including Dunkels & Märzens."
0,,e,,,,,,n
0," Lunar Crush 
",OYL-403,>70-78%</d,Medi,""">9% ",""">50–65° F (10–18° C)<",>No</d,"Put a spin on lager brewing with Lunar Crush<sup>®</sup>, our distinctively tropical Thiolized<sup>®</sup> lager strain. Lunar Crush biotransforms thiol precursors from malt, hops, and grape-derived products for a new wave of passion fruit, guava, and New Zealand Sauvignon blanc fruitiness. This isn’t your typical lager yeast — Lunar Crush is the perfect companion for complex, hop-forward styles or even creating something entirely new by simplifying your recipe for the boldest thiol expression.<br>"
0,,e,,,,,,n
0,,e,,,,,,n
0," Sundew 
",OYL-401,>72-85%</d,High,""">12%",""">64–78° F (18–26° C)<",>No</d,"
    Sundew’s
    <sup>®</sup>
     ripe strawberry, passion fruit, pear, and stone fruit combine to emphasize desirable notes in modern fruity hops. This Omega Yeast original strain was inspired by its parental strain’s fruit esters, which were originally obscured by Belgian phenolic character. Sundew, however, is non-phenolic and incapable of producing the spicy clove flavors that were previously competing with its pure, juicy red-fruit bouquet.
  "
0,,e,,,,,,n
0," Brett Blend #2 Bit O’ Funk 
",OYL-211,>85%+</div,Very,""">11%",""">68–80° F (20–27° C)<",t-deta,"
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brett-blend-1-where-da-funk"">Blend #1 (OYL-210) </a>
    contains one Brett-famous brewery strain plus one Sacch strain for huge tropical fruit aroma with a wide temp range. Very dry, mild funk and low acid.
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brett-blend-2-bit-o-funk""> Blend #2 (OYL-211)</a>
     contains the Sacch strain from Blend #1 and is spiked with brux for development of moderate funk in secondary; may take 3+ months to emerge. 
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brett-blend-3-bring-on-da-funk"">Blend #3 (OYL-212)</a>
     contains the one Sacch strain from Blend #1 and is spiked with brux, lambicus, two Brett isolates from a Brett-famous brewery, and two Brett isolates from an 
    <span class=""push-double""/>
    ​
    <span class=""pull-double"">“</span>
    intense” Belgian source, for a funky, fruity, complex, 8‑strain composition.
  "
0," Propper Seltzer
",OYL-Pri,,,,,,n
0," Kolsch II DKO 
",OYL-435,>72-78%</d,Medi,""">10%",""">65–69° F (18–21° C)<",>No</d,"A lager-like ale strain that’s lightly fruity, crisp, and clean with a hint of sulfur that quickly disappears with aging. Accentuates hop flavors with a bright, clear presentation while keeping diacetyl out of the picture. US only."
0," Brett Blend #3 Bring On Da Funk 
",OYL-212,>85%+</div,Very,""">11%",""">68–80° F (20–27° C)<",t-deta,"
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brett-blend-1-where-da-funk"">Blend #1 (OYL-210) </a>
    contains one Brett-famous brewery strain plus one Sacch strain for huge tropical fruit aroma with a wide temp range. Very dry, mild funk and low acid.
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brett-blend-2-bit-o-funk""> Blend #2 (OYL-211)</a>
     contains the Sacch strain from Blend #1 and is spiked with brux for development of moderate funk in secondary; may take 3+ months to emerge. 
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brett-blend-3-bring-on-da-funk"">Blend #3 (OYL-212)</a>
     contains the one Sacch strain from Blend #1 and is spiked with brux, lambicus, two Brett isolates from a Brett-famous brewery, and two Brett isolates from an 
    <span class=""push-double""/>
    ​
    <span class=""pull-double"">“</span>
    intense” Belgian source, for a funky, fruity, complex, 8‑strain composition. 
  "
0," Propper Starter
",,,,,,,n
0," Bayern Lager DKO 
",OYL-433,>72-76%</d,Medi,""">9% ",""">51–62° F (11–17° C)<",>No</d,"A versatile lager strain known for its traditional clean and crisp character, laying the groundwork for a broad range of styles. Expresses the ALDC enzyme so you can get to lagering, faster. US only."
0," Saisonstein 
",OYL-500,>80-90%</d,Low<,""">11%",""">65–78° F (18–26° C)<",>Yes</,"Saisonstein<sup>®</sup> is an Omega-original, genetic hybrid of two Saison strains, the <a href=""https://omegayeast.com/yeast/belgian-ales/french-saison"">French (OYL-026)</a> and <a href=""https://omegayeast.com/yeast/belgian-ales/belgian-saison-i"">Belgian (OYL-027)</a>. It is versatile, aromatic and attenuative with a silky mouthfeel. It excels in high gravity and it ferments more reliably and thoroughly than its parents. It is spicy, complex, tart, dry and crisp with some bubblegum character present from its Belgian parent, and more fruit and fewer phenolics than its French parent. Attenuation is 80 – 90% or more.<br>"
0," Point Loma DKO 
",OYL-434,>76-83%</d,Medi,""">11%",""">65–68° F (18–20° C)<",>No</d,<strong>Point Loma was formerly West Coast Ale III</strong><br>
0," C2C American Farmhouse 
",OYL-217,>70-85%</d,Low<,""">10%",""">68–80° F (20–27° C)<",>Yes</,"
    A 
    <span class=""push-double""/>
    ​
    <span class=""pull-double"">“</span>
    coast to coast” blend of one saison strain from a famous Northeast U.S. brewery and one Brett strain from a Northwest U.S. brewery. The blend quickly produces a pleasantly dry beer, filled out with aromas of white wine, hay, and mulled citrus.
  "
0," All the Bretts 
",OYL-218,>85%+</div,Low<,""">11%",""">70–85° F (21–29° C)<",t-deta,An evolving blend of many of the Brett strains in our collection. Use in secondary and expect high attenuation and a fruity and funky complexity that continues to develop over time.
0," Bananza 
",OYL-400,>73-77%</d,Low<,""">10%",""">64–75° F (18–24° C)<",>No</d,"
    Ripe banana esters (with a hint of pear) make this new, Omega Yeast original a standout for pastry stouts, milkshake IPAs and other modern ales. For prime banana esters, pitch at 68°F (20°C) and let free rise to 72 – 75°F (22 – 24°C). Unlike its parental Hefeweizen strain, Bananza
    <sup>®</sup>
     is versatile because it is non-phenolic and therefore incapable of producing clove flavors that would mask its pure banana profile.
  "
0," Lutra Kveik 
",OYL-071,>75-82%</d,Medi,""">15%",""">68–95° F (20–35° C)<",>No</d,"Isolated from our <a href=""https://omegayeast.com/yeast/kveiks/hornindal-kveik"">Hornindal Kveik (OYL-091)</a> culture, Lutra<sup>®</sup> is shockingly clean with unrivaled speed when pitched at 90°F (32°C). The strain is perfect for brewing an even more neutral and refreshing pseudo-lager at its lower temperatures, without the lead time of other lager yeast. Lutra is your worry-free way to navigate the evolving demand for cold ones.<br>"
0," German Lager I DKO 
",OYL-437,>73-77%</d,Medi,""">9% ",""">45–68° F (7–20° C)</",>No</d,One of the world’s most prominent lager strains. Sports a versatile malty profile with light esters at a wide fermentation range. Maintain a more crisp profile by fermenting low or bring out slightly heightened esters at warmer temps (65 – 68°F). Avoid any hints of diacetyl and up your lager game. US only.
0,,e,,,,,,n
0,,e,,,,,,n
0," Helio Gazer 
",OYL-405,>71-75%</d,High,""">10%",""">64–74° F (18–23° C)<",>No</d,"With enhanced Thiolized<sup>®</sup> capabilities, Helio Gazer<sup>™</sup> boosts thiol biotransformation to free thiols 200x above sensory threshold, creating a supernova of tropical, passion fruit flavors and aromas. Even in the juiciest of IPAs, expect robust guava and New Zealand sauvignon blanc-like aromas along with the beloved sturdy haziness of its parent strain, <a href=""https://omegayeast.com/yeast/ales/british-ale-v"">British Ale V</a>. Pair with mash hopping, grape-derived products or regional malt and hops for peak thiols.<br><br>Note: Think of this as an amped up <a href=""https://omegayeast.com/yeast/ales/cosmic-punch"">Cosmic Punch</a><br><br><em>*For sale in the US only. Patent pending.</em><em><br></em>"
0," Cosmic Punch 
",OYL-402,>71-75%</d,High,""">10%",""">64–75° F (18–24° C)<",>No</d,"A Thiolized<sup>®</sup> version of our popular hazy strain, <a href=""https://omegayeast.com/yeast/ales/british-ale-v"">British Ale V (OYL-011)</a>, Cosmic Punch<sup>®</sup> generates thiols through biotransformation, releasing tropical aromas experienced in southern hemisphere hops and New Zealand Sauvignon Blanc. This punchy strain unleashes vibrant grapefruit, passion fruit and guava notes. Expect the same performance and haze you get from British V, but with additional thiol aromas. Experiment with mash hopping or wine grape-derived products to push even more thiols.<em><a href=""https://omegayeast.com/all-about-our-thiolized-yeast-series""><br></a></em>"
0," Dried Lutra Kveik 
",OYL-071,>75-82%</d,Medi,""">15%",""">68–95° F (20–35° C)<",>No</d,"The same shockingly clean Lutra<sup>®</sup> that you love in liquid form is now available in a convenient dry format. Dried Lutra’s clean canvas, huge temperature range, high alcohol tolerance, and fast finishing speeds means unrivaled flexibility and versatility for nearly any style. For a refreshing pseudo-lager or a huge imperial stout — for any reason you’re using a neutral dry yeast, use Dried Lutra and get more, faster. <br>"
0,,e,,,,,,n
0," Hornindal Kveik 
",OYL-091,>75-82%</d,High,""">16%",""">68–95° F (20–35° C)<",>No</d,"
    A wonderfully unique Norwegian kveik, Hornindal’s blend of cooperative strains produce a tropical flavor and complex aroma that can present as stone fruit, pineapple, and dried fruit leather, which complement fruit-forward hops. Add even more dimension to 
    <span class=""push-double""/>
    ​
    <span class=""pull-double"">“</span>
    C” hops and increase ester intensity with a high fermentation temperature. Ferments well at 90°F / 32°C or higher. Non-phenolic and no noticeable fusels, even at higher temperatures.
  "
0,,e,,,,,,n
0,,e,,,,,,n
